/usr/bin/hadoop
2018-06-08 00:44:22 WARN  NativeCodeLoader:60 - Unable to load native-hadoop library for your platform... using builtin-java classes where applicable
2018-06-08 00:44:23 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@38cf8e7a{/static,null,AVAILABLE,@Spark}
2018-06-08 00:44:23 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@11299402{/,null,AVAILABLE,@Spark}
2018-06-08 00:44:23 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@3ceb917{/api,null,AVAILABLE,@Spark}
2018-06-08 00:44:23 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@3773e64e{/jobs/job/kill,null,AVAILABLE,@Spark}
2018-06-08 00:44:23 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@671fee75{/stages/stage/kill,null,AVAILABLE,@Spark}
2018-06-08 00:44:23 INFO  SparkUI:54 - Bound SparkUI to localhost, and started at http://localhost:4040
2018-06-08 00:44:23 INFO  SparkContext:54 - Added JAR file:///home/dhoogla/Documents/UGent/spark-knn/spark-knn-core/target/scala-2.11/spark-knn_2.11-0.0.1-84aecdb78cb7338fb2e49254f6fdddf508d7273f.jar at spark://localhost:35221/jars/spark-knn_2.11-0.0.1-84aecdb78cb7338fb2e49254f6fdddf508d7273f.jar with timestamp 1528411463639
2018-06-08 00:44:23 INFO  SparkContext:54 - Added file file:/home/dhoogla/Documents/UGent/Thesis-cybersecurity-traffic-analysis/heavy_spark_NSL_KDD.py at file:/home/dhoogla/Documents/UGent/Thesis-cybersecurity-traffic-analysis/heavy_spark_NSL_KDD.py with timestamp 1528411463641
2018-06-08 00:44:23 INFO  Utils:54 - Copying /home/dhoogla/Documents/UGent/Thesis-cybersecurity-traffic-analysis/heavy_spark_NSL_KDD.py to /tmp/spark-c47b90fa-c247-400b-a671-339286dec4e4/userFiles-3d39ef34-8f2a-45ee-b30e-eb54062b9dc4/heavy_spark_NSL_KDD.py
2018-06-08 00:44:23 INFO  SparkContext:54 - Added file file:///home/dhoogla/Documents/UGent/spark-knn/python/dist/pyspark_knn-0.1-py3.6.egg at file:///home/dhoogla/Documents/UGent/spark-knn/python/dist/pyspark_knn-0.1-py3.6.egg with timestamp 1528411463649
2018-06-08 00:44:23 INFO  Utils:54 - Copying /home/dhoogla/Documents/UGent/spark-knn/python/dist/pyspark_knn-0.1-py3.6.egg to /tmp/spark-c47b90fa-c247-400b-a671-339286dec4e4/userFiles-3d39ef34-8f2a-45ee-b30e-eb54062b9dc4/pyspark_knn-0.1-py3.6.egg
2018-06-08 00:44:23 INFO  Executor:54 - Starting executor ID driver on host localhost
2018-06-08 00:44:23 INFO  Utils:54 - Successfully started service 'org.apache.spark.network.netty.NettyBlockTransferService' on port 44589.
2018-06-08 00:44:23 INFO  NettyBlockTransferService:54 - Server created on localhost:44589
2018-06-08 00:44:23 INFO  BlockManager:54 - Using org.apache.spark.storage.RandomBlockReplicationPolicy for block replication policy
2018-06-08 00:44:23 INFO  BlockManagerMaster:54 - Registering BlockManager BlockManagerId(driver, localhost, 44589, None)
2018-06-08 00:44:23 INFO  BlockManagerMasterEndpoint:54 - Registering block manager localhost:44589 with 6.2 GB RAM, BlockManagerId(driver, localhost, 44589, None)
2018-06-08 00:44:23 INFO  BlockManagerMaster:54 - Registered BlockManager BlockManagerId(driver, localhost, 44589, None)
2018-06-08 00:44:23 INFO  BlockManager:54 - Initialized BlockManager: BlockManagerId(driver, localhost, 44589, None)
2018-06-08 00:44:23 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@63979bf9{/metrics/json,null,AVAILABLE,@Spark}
2018-06-08 00:44:23 INFO  SharedState:54 - Setting hive.metastore.warehouse.dir ('null') to the value of spark.sql.warehouse.dir ('file:/home/dhoogla/Documents/UGent/Thesis-cybersecurity-traffic-analysis/spark-warehouse/').
2018-06-08 00:44:23 INFO  SharedState:54 - Warehouse path is 'file:/home/dhoogla/Documents/UGent/Thesis-cybersecurity-traffic-analysis/spark-warehouse/'.
2018-06-08 00:44:23 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@58a5185{/SQL,null,AVAILABLE,@Spark}
2018-06-08 00:44:23 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@220f99fd{/SQL/json,null,AVAILABLE,@Spark}
2018-06-08 00:44:23 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@35f086d9{/SQL/execution,null,AVAILABLE,@Spark}
2018-06-08 00:44:23 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@633693be{/SQL/execution/json,null,AVAILABLE,@Spark}
2018-06-08 00:44:23 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@17221b43{/static/sql,null,AVAILABLE,@Spark}
2018-06-08 00:44:24 INFO  StateStoreCoordinatorRef:54 - Registered StateStoreCoordinator endpoint
kNN:k 1 0.9994427576919176
Total time elapsed 0:00:54.024549
Features 16 Algorithm kNN
